"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 29 15:31:20 GMT 2024","Mon Jan 29 15:31:21 GMT 2024","430","suite","","SOAPAccountServiceTest","","","TC03_AccountLogoutRequest - SOAP Test toLogout of Account","SOAP Test toLogout of Account"
"passed","Mon Jan 29 15:30:38 GMT 2024","Mon Jan 29 15:30:40 GMT 2024","2331","suite","","RESTUserTest","","","TC03_AddUser - To add new user to the store","To add new user to the store"
"passed","Mon Jan 29 15:30:03 GMT 2024","Mon Jan 29 15:30:44 GMT 2024","40452","suite","","CreateAccountTest","","","TC02_CreateAccountTest - Create new user with London Address","Create new user with London Address"
"passed","Mon Jan 29 15:31:05 GMT 2024","Mon Jan 29 15:31:18 GMT 2024","12725","suite","","ContactUsTest","","","TC02_ContactUsTest : Contact Us regarding Speakers","Contact Us regarding Speakers"
"passed","Mon Jan 29 15:30:03 GMT 2024","Mon Jan 29 15:30:44 GMT 2024","40992","suite","","CreateAccountTest","","","TC01_CreateAccountTest - Create new user with India Address","Create new user with India Address"
"passed","Mon Jan 29 15:30:49 GMT 2024","Mon Jan 29 15:31:19 GMT 2024","30282","suite","","DownloadTest","","","DownloadTest - To download pdf file from application","To download pdf file from application"
"passed","Mon Jan 29 15:30:40 GMT 2024","Mon Jan 29 15:30:41 GMT 2024","1069","suite","","RESTUserTest","","","TC04_UpdateUser - To update phone number of newly added user","To update phone number of newly added user"
"passed","Mon Jan 29 15:30:53 GMT 2024","Mon Jan 29 15:31:05 GMT 2024","12575","suite","","LoginTest","","","TC03_LoginCreateAccount - Login with valid credentials from Create Account","Login with valid credentials from Create Account"
"passed","Mon Jan 29 15:30:35 GMT 2024","Mon Jan 29 15:30:38 GMT 2024","2107","suite","","RESTUserTest","","","TC02_GetSingleUser - To get single user in the store","To get single user in the store"
"passed","Mon Jan 29 15:31:21 GMT 2024","Mon Jan 29 15:31:21 GMT 2024","342","suite","","SOAPAccountServiceTest","","","TC04_CountrySearchRequest - SOAP Test to Search Country","SOAP Test to Search Country"
"passed","Mon Jan 29 15:30:03 GMT 2024","Mon Jan 29 15:30:35 GMT 2024","31947","suite","","RESTUserTest","","","TC01_GetAllUserTest - To get all the user in the store","To get all the user in the store"
"passed","Mon Jan 29 15:30:45 GMT 2024","Mon Jan 29 15:30:49 GMT 2024","4461","suite","","RESTUserTest","","","TC06_DeleteUser - To delete a newly added user","To delete a newly added user"
"passed","Mon Jan 29 15:31:19 GMT 2024","Mon Jan 29 15:31:20 GMT 2024","373","suite","","SOAPAccountServiceTest","","","TC01_AccountCreateRequest - SOAP Test to Create Account","SOAP Test to Create Account"
"passed","Mon Jan 29 15:30:44 GMT 2024","Mon Jan 29 15:31:00 GMT 2024","16113","suite","","LoginTest","","","TC01_ValidLogin - Login with valid credentials","Login with valid credentials"
"passed","Mon Jan 29 15:31:20 GMT 2024","Mon Jan 29 15:31:20 GMT 2024","378","suite","","SOAPAccountServiceTest","","","TC02_AccountLoginRequest - SOAP Test to Login to Account","SOAP Test to Login to Account"
"passed","Mon Jan 29 15:30:44 GMT 2024","Mon Jan 29 15:30:53 GMT 2024","8312","suite","","LoginTest","","","TC02_InValidLogin - Login with invalid credentials","Login with invalid credentials"
"passed","Mon Jan 29 15:31:00 GMT 2024","Mon Jan 29 15:31:18 GMT 2024","18330","suite","","ContactUsTest","","","TC01_ContactUsTest : Contact Us regarding Headphone","Contact Us regarding Headphone"
"passed","Mon Jan 29 15:30:41 GMT 2024","Mon Jan 29 15:30:45 GMT 2024","3705","suite","","RESTUserTest","","","TC05_StoreLogin - To Login to the store with newly added user","To Login to the store with newly added user"
