"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"To get all the user in the store","11784","TC01_GetAllUserTest - To get all the user in the store","suite","Mon Sep 29 07:16:24 UTC 2025","failed","Mon Sep 29 07:16:36 UTC 2025","RESTUserTest","","",""
"","1","TC06_DeleteUser - To delete a newly added user","suite","Mon Sep 29 07:16:42 UTC 2025","skipped","Mon Sep 29 07:16:42 UTC 2025","RESTUserTest","","",""
"","2","TC02_GetSingleUser - To get single user in the store","suite","Mon Sep 29 07:16:42 UTC 2025","skipped","Mon Sep 29 07:16:42 UTC 2025","RESTUserTest","","",""
"Contact Us regarding Speakers","5969","TC02_ContactUsTest : Contact Us regarding Speakers","suite","Mon Sep 29 07:17:12 UTC 2025","passed","Mon Sep 29 07:17:18 UTC 2025","ContactUsTest","","",""
"SOAP Test to Create Account","529","TC01_AccountCreateRequest - SOAP Test to Create Account","suite","Mon Sep 29 07:17:14 UTC 2025","passed","Mon Sep 29 07:17:14 UTC 2025","SOAPAccountServiceTest","","",""
"Create new user with India Address","26187","TC01_CreateAccountTest - Create new user with India Address","suite","Mon Sep 29 07:16:24 UTC 2025","passed","Mon Sep 29 07:16:50 UTC 2025","CreateAccountTest","","",""
"Login with valid credentials","9910","TC01_ValidLogin - Login with valid credentials","suite","Mon Sep 29 07:16:55 UTC 2025","passed","Mon Sep 29 07:17:05 UTC 2025","LoginTest","","",""
"SOAP Test toLogout of Account","453","TC03_AccountLogoutRequest - SOAP Test toLogout of Account","suite","Mon Sep 29 07:17:15 UTC 2025","passed","Mon Sep 29 07:17:15 UTC 2025","SOAPAccountServiceTest","","",""
"To download pdf file from application and verify the PDF details","23558","DownloadTest - To download pdf file from application and verify the PDF details","suite","Mon Sep 29 07:16:50 UTC 2025","passed","Mon Sep 29 07:17:13 UTC 2025","DownloadTest","","",""
"","1","TC04_UpdateUser - To update phone number of newly added user","suite","Mon Sep 29 07:16:42 UTC 2025","skipped","Mon Sep 29 07:16:42 UTC 2025","RESTUserTest","","",""
"Create new user with London Address","25768","TC02_CreateAccountTest - Create new user with London Address","suite","Mon Sep 29 07:16:24 UTC 2025","passed","Mon Sep 29 07:16:50 UTC 2025","CreateAccountTest","","",""
"Login with invalid credentials","4367","TC02_InValidLogin - Login with invalid credentials","suite","Mon Sep 29 07:16:55 UTC 2025","passed","Mon Sep 29 07:17:00 UTC 2025","LoginTest","","",""
"SOAP Test to Search Country","405","TC04_CountrySearchRequest - SOAP Test to Search Country","suite","Mon Sep 29 07:17:15 UTC 2025","passed","Mon Sep 29 07:17:16 UTC 2025","SOAPAccountServiceTest","","",""
"","0","TC03_AddUser - To add new user to the store","suite","Mon Sep 29 07:16:42 UTC 2025","skipped","Mon Sep 29 07:16:42 UTC 2025","RESTUserTest","","",""
"SOAP Test to Login to Account","786","TC02_AccountLoginRequest - SOAP Test to Login to Account","suite","Mon Sep 29 07:17:14 UTC 2025","passed","Mon Sep 29 07:17:15 UTC 2025","SOAPAccountServiceTest","","",""
"Contact Us regarding Headphone","7629","TC01_ContactUsTest : Contact Us regarding Headphone","suite","Mon Sep 29 07:17:05 UTC 2025","passed","Mon Sep 29 07:17:13 UTC 2025","ContactUsTest","","",""
"","1","TC05_StoreLogin - To Login to the store with newly added user","suite","Mon Sep 29 07:16:42 UTC 2025","skipped","Mon Sep 29 07:16:42 UTC 2025","RESTUserTest","","",""
"Login with valid credentials from Create Account","11759","TC03_LoginCreateAccount - Login with valid credentials from Create Account","suite","Mon Sep 29 07:17:00 UTC 2025","passed","Mon Sep 29 07:17:12 UTC 2025","LoginTest","","",""
